---------------------------------------------------------------------------------------
| elementName     | atomicWeight            | atomicNumber | neutrons                 |
| "praseodymium"  | "140.90765"^^xsd:float  | 59           | "81.90765"^^xsd:float    |
| "silicon"       | "28.0855"^^xsd:float    | 14           | "14.085501"^^xsd:float   |
| "samarium"      | "150.36"^^xsd:float     | 62           | "88.36"^^xsd:float       |
| "polonium"      | "209"^^xsd:float        | 84           | "125.0"^^xsd:float       |
| "arsenic"       | "74.92160"^^xsd:float   | 33           | "41.9216"^^xsd:float     |
| "helium"        | "4.002602"^^xsd:float   | 2            | "2.002602"^^xsd:float    |
| "boron"         | "10.811"^^xsd:float     | 5            | "5.811"^^xsd:float       |
| "nitrogen"      | "14.0067"^^xsd:float    | 7            | "7.0066996"^^xsd:float   |
| "caesium"       | "132.90545"^^xsd:float  | 55           | "77.90546"^^xsd:float    |
| "dubnium"       | "262"^^xsd:float        | 105          | "157.0"^^xsd:float       |
| "scandium"      | "44.955910"^^xsd:float  | 21           | "23.95591"^^xsd:float    |
| "copper"        | "63.546"^^xsd:float     | 29           | "34.546"^^xsd:float      |
| "ununquadium"   | "289"^^xsd:float        | 114          | "175.0"^^xsd:float       |
| "magnesium"     | "24.3050"^^xsd:float    | 12           | "12.305"^^xsd:float      |
| "phosphorus"    | "30.973761"^^xsd:float  | 15           | "15.973761"^^xsd:float   |
| "rubidium"      | "85.4678"^^xsd:float    | 37           | "48.467796"^^xsd:float   |
| "bohrium"       | "264"^^xsd:float        | 107          | "157.0"^^xsd:float       |
| "einsteinium"   | "252"^^xsd:float        | 99           | "153.0"^^xsd:float       |
| "yttrium"       | "88.90585"^^xsd:float   | 39           | "49.905853"^^xsd:float   |
| "unununium"     | "272"^^xsd:float        | 111          | "161.0"^^xsd:float       |
| "lead"          | "207.2"^^xsd:float      | 82           | "125.2"^^xsd:float       |
| "thallium"      | "204.3833"^^xsd:float   | 81           | "123.3833"^^xsd:float    |
| "vanadium"      | "50.9415"^^xsd:float    | 23           | "27.941502"^^xsd:float   |
| "strontium"     | "87.62"^^xsd:float      | 38           | "49.620003"^^xsd:float   |
| "hassium"       | "269"^^xsd:float        | 108          | "161.0"^^xsd:float       |
| "barium"        | "137.327"^^xsd:float    | 56           | "81.326996"^^xsd:float   |
| "plutonium"     | "244"^^xsd:float        | 94           | "150.0"^^xsd:float       |
| "ytterbium"     | "173.04"^^xsd:float     | 70           | "103.03999"^^xsd:float   |
| "beryllium"     | "9.012182"^^xsd:float   | 4            | "5.012182"^^xsd:float    |
| "bismuth"       | "208.98038"^^xsd:float  | 83           | "125.98038"^^xsd:float   |
| "iridium"       | "192.217"^^xsd:float    | 77           | "115.216995"^^xsd:float  |
| "promethium"    | "145"^^xsd:float        | 61           | "84.0"^^xsd:float        |
| "astatine"      | "210"^^xsd:float        | 85           | "125.0"^^xsd:float       |
| "rhenium"       | "186.207"^^xsd:float    | 75           | "111.207"^^xsd:float     |
| "gallium"       | "69.723"^^xsd:float     | 31           | "38.723"^^xsd:float      |
| "antimony"      | "121.760"^^xsd:float    | 51           | "70.76"^^xsd:float       |
| "mendelevium"   | "258"^^xsd:float        | 101          | "157.0"^^xsd:float       |
| "lutetium"      | "174.967"^^xsd:float    | 71           | "103.966995"^^xsd:float  |
---------------------------------------------------------------------------------------
