-----------------------------------------
| concept            | property         |
| "Ce"               | "classification" |
| "Ce"               | "group"          |
| "Mn"               | "period"         |
| "Mn"               | "type"           |
| "Mn"               | "block"          |
| "Mn"               | "standardState"  |
| "Mn"               | "classification" |
| "Mn"               | "group"          |
| "Os"               | "period"         |
| "Os"               | "type"           |
| "Os"               | "block"          |
| "Os"               | "standardState"  |
| "Os"               | "classification" |
| "Os"               | "group"          |
| "Group"            | "type"           |
| "Ne"               | "period"         |
| "Ne"               | "type"           |
| "Ne"               | "block"          |
| "Ne"               | "standardState"  |
| "Ne"               | "classification" |
| "Ne"               | "group"          |
| "Zr"               | "period"         |
| "Zr"               | "type"           |
| "Zr"               | "block"          |
| "Zr"               | "standardState"  |
| "Zr"               | "classification" |
| "Zr"               | "group"          |
| "group_15"         | "element"        |
| "group_15"         | "type"           |
| "Pd"               | "period"         |
| "Pd"               | "type"           |
| "Pd"               | "block"          |
| "Pd"               | "standardState"  |
| "Pd"               | "classification" |
| "Pd"               | "group"          |
| "Mt"               | "period"         |
| "Mt"               | "type"           |
| "Mt"               | "block"          |
| "Mt"               | "standardState"  |
| "Mt"               | "classification" |
| "Mt"               | "group"          |
| "group_7"          | "element"        |
| "group_7"          | "type"           |
| "Nb"               | "period"         |
| "Nb"               | "type"           |
| "Nb"               | "block"          |
| "Nb"               | "standardState"  |
| "Nb"               | "classification" |
| "Nb"               | "group"          |
| "color"            | "type"           |
| "Metallic"         | "type"           |
| "O"                | "period"         |
| "O"                | "type"           |
| "O"                | "block"          |
| "O"                | "standardState"  |
| "O"                | "classification" |
| "O"                | "group"          |
| "group_actinoid"   | "element"        |
| "group_actinoid"   | "type"           |
| "C"                | "period"         |
| "C"                | "type"           |
| "C"                | "block"          |
| "C"                | "standardState"  |
| "C"                | "classification" |
| "C"                | "group"          |
| "Hg"               | "period"         |
| "Hg"               | "type"           |
| "Hg"               | "block"          |
| "Hg"               | "standardState"  |
| "Hg"               | "classification" |
| "Hg"               | "group"          |
| "S"                | "period"         |
| "S"                | "type"           |
| "S"                | "block"          |
| "S"                | "standardState"  |
| "S"                | "classification" |
| "S"                | "group"          |
| "Hf"               | "period"         |
| "Hf"               | "type"           |
| "Hf"               | "block"          |
| "Hf"               | "standardState"  |
| "Hf"               | "classification" |
| "Hf"               | "group"          |
| "p-block"          | "type"           |
| "Uut"              | "period"         |
| "Uut"              | "type"           |
| "Uut"              | "block"          |
| "Uut"              | "standardState"  |
| "Uut"              | "group"          |
| "Ge"               | "period"         |
| "Ge"               | "type"           |
| "Ge"               | "block"          |
| "Ge"               | "standardState"  |
| "Ge"               | "classification" |
| "Ge"               | "group"          |
| "Pa"               | "period"         |
| "Pa"               | "type"           |
| "Pa"               | "block"          |
| "Pa"               | "standardState"  |
| "Pa"               | "classification" |
| "Pa"               | "group"          |
| "Element"          | "type"           |
| "F"                | "period"         |
| "F"                | "type"           |
| "F"                | "block"          |
| "F"                | "standardState"  |
| "F"                | "classification" |
| "F"                | "group"          |
| "number"           | "type"           |
| "group_11"         | "element"        |
| "group_11"         | "type"           |
| "Al"               | "period"         |
| "Al"               | "type"           |
| "Al"               | "block"          |
| "Al"               | "standardState"  |
| "Al"               | "classification" |
| "Al"               | "group"          |
| "Ra"               | "period"         |
| "Ra"               | "type"           |
| "Ra"               | "block"          |
| "Ra"               | "standardState"  |
| "Ra"               | "classification" |
| "Ra"               | "group"          |
| "d-block"          | "type"           |
| "Ru"               | "period"         |
| "Ru"               | "type"           |
| "Ru"               | "block"          |
| "Ru"               | "standardState"  |
| "Ru"               | "classification" |
| "Ru"               | "group"          |
| "period_7"         | "element"        |
| "period_7"         | "type"           |
| "gas"              | "type"           |
| "casRegistryID"    | "seeAlso"        |
| "casRegistryID"    | "type"           |
| "Np"               | "period"         |
| "Np"               | "type"           |
